"Product ID","Category","Brand","Name","Description","Rating","Review Count"
"6405","headphones","SOL REPUBLIC","SOL REPUBLIC 1241-03 Tracks HD On-Ear Interchangeable Headphones with 3-Button Mic and Music Control - Red","FREE Shipping on qualified orders. Don't miss a beat of your favorite Korean pop songs with the Sol Republic Tracks HD Headphones. The powerful V10 Sound Engines bump heavy bass and clear vocals so you can hear every word of a song in a language you don't","4.2106208311954845","1949"
"6407","headphones","Monster","128471 DNA White and Satin Chrome","Monster DNA Earbuds - White/Satin Chrome &bull; Inner-Ear DNA Series Earphones w/ Advanced Noise Isolation & Apple iPhone ControlTalk Cable w/ Mic &bull; In-Ear DNA Series Headphones  &bull; Controltalk Cable For Apple Devices  &bull; Tangle-free Cable Fo","3.8213358070500925","539"
"6409","headphones","Skullcandy","Skullcandy S6AVFM-157 Aviator Headphones with Mic3","FREE 2-DAY SHIPPING on qualified orders. Skullcandy partnered with Jay-Z’s Roc Nation to produce the latest, most sought-after headphones on the market, the Skullcandy Roc Nation Aviators. These phones drip with a fusion of vintage and ultra-modern style,","4.338059701492537","268"
"344334","headphones","Skullcandy","Skullcandy Hesh 2 Wireless Bluetooth Headphone","You'll enjoy a lot of high-quality sound with the Skullcandy Hesh 2 Wireless Bluetooth Headphone. It has 15 hours of play time on the built-in rechargeable battery. This wireless black headphone also features handy onboard controls to allow you to answer ","4.0476190476190474","21"
"6411","headphones","Koss","QuietZone Passive Noise Reduction Stereophone","Koss - 134122 - Koss QZ-99 Technology Stereo Headphone - Wired - 60 Ohm - 40 Hz 20 kHz - Gold Plated - Binaural - Ear-cup - 8 ft Cable on Neobits.com shop. <ul><li>Frequency response: 40Hz20kHz<li>Isolates listener from ambient sounds-ideal for use with r","4.459958552086212","3619"
"344329","headphones","EASYCOMFORTS","EasyComforts Wireless Headphones","The EasyComforts Wireless Headphones are lightweight and cushioned for effortless wearing. These compact headphones help control the volume of your television set without disturbing other members of the household. They can be used with stereos and televis","3.28125","32"
"354568","headphones","KEDSUM","KEDSUM V4.1 Wireless Sports Headphones Sweatproof Running Gym Stereo Earbuds Headsets Built-in Mic/APT-X for iPhone 6s 6s plus Galaxy S6 S5 and Android Phones","Amazon.com : KEDSUM V4.1 Wireless Sports Headphones Sweatproof Running Gym Stereo Earbuds Headsets Built-in Mic/APT-X for iPhone 6s 6s plus Galaxy S6 S5 and Android Phones : Sports & Outdoors","3.301544401544401","777"
"344328","headphones","RCA","Rca Whp141 900mhz Wireless Stereo Headphones (whp141b)","Enjoy music in privacy with this RCA 900MHz Wireless Stereo Headphones, Whp141. They are easy to connect and set up. Once they are synced, they provide wireless transmissions of the audio signal through walls, floors and ceilings. Listen to tunes, televis","4.34375","32"
"344330","headphones","Sony","Sony MDRRF985RK Wireless RF Headphones, Black, Refurbished","Get the most out of your music with these Sony MDRRF985RK Wireless RF Headphones. Made to offer freedom of movement while listening to your favorite shows and moves, they're comfortable and easy to wear. Each pair of black wireless headphones will allow y","4.0625","32"
"57618","headphones","Philips","Philips SHS3200WT/37 Flexible Earhook Headphones, White","Philips Flexible Earhook Headphones SHS3201/28 Whi...","3.6998400852878466","7504"
"344350","headphones","Sony","Sony MDRZX110NC ZX-Series Noise-Cancelling Headphones","Enjoy your music on the go with these Sony MDRZX110NC ZX-Series Noise-Cancelling Headphones.They provide a remarkable, up to 95 percent noise-free, audio experience. These noise-cancelling on-ear headphones feature pressure-relieving cushions that provide","3.8125","32"
"6428","headphones","Skullcandy","Skullcandy DJ Mix Master Mike Over Ear Headphones - Matte Black w/ Mic (S6MMDM-030)","FREE Shipping on qualified orders. The SkullCandy Mix Master Mike Headphones will change your life. Designed to meet the needs of one of the best, the mylar drivers and gold-plated input connections promise to pump supreme audio into your brain.","0.0","0"
"6429","headphones","Sony","Sony MDR-XB600 Extra Bass 40mm Driver Premium Headphones","Priced $119.99. Categorized under Consumer Electronics >> Portable Audio & Headphones >> Headphones. Condition: New, UPC: 0027242847224, Earpiece Design: Ear-Cup (Over the Ear), Fit Design: Headband, Brand: Sony, Model: MDR-XB600, MPN: MDR-XB600, Connecti","3.891891891891892","37"
"356632","headphones","Sylvania","Sylvania SBT214-Black Bluetooth Stereo Headphones - Black","Amazon.com: Sylvania SBT214-Black Bluetooth Stereo Headphones - Black: Electronics","3.5","127"
"344357","headphones","LG","LG Electronics Tone+ HBS-730 Bluetooth Headset - Retail Packaging - Black","Enjoy a quality, hands-free audio experience with the LG Electronics Tone+ HBS-730 Bluetooth Headset-Retail Packaging-Black. The unique Tone+ technology is different from other Bluetooth headsets. You simply wear the wireless device comfortably around you","4.125","32"
"344359","headphones","LG","LG Electronics Tone+ HBS-730 Bluetooth Headset - HBS-730.ACUSPKK - Retail Packaging - Pink","LG Tone+ Features Talk/Music Time: Up to 15/10 hours Bluetooth Version: 3.0 Long Battery Life Microphone Mute aptX Compatible Audible Battery Status Alert Vibrating Call Alert Text to Speech All Day Comfort Witness the enhanced audio and bass response of ","4.21875","32"
"6439","headphones","JVC","JVC HAW600RF 900MHZ Wireless Headphones - Black","Buy JVC HA-W600RF Circumaural 900 MHz Wireless Stereo Headphone with fast shipping and top-rated customer service.Once you know, you Newegg&#33;","3.602601156069364","692"
"6443","headphones","Turtle Beach","Turtle Beach Ear Force Z22 Amplified PC Gaming Headset (TBS-6052-01)","Turtle Beach - TBS-6052-01 - TURTLE BEACH TBS-6052-01 Ear Force(R) Z22 HP PC Headset on Neobits.com shop. <ul><li>50mm speakers deliver pristine audio quality with comfortable memory foam ear cushions creating a noise-isolating barrier<li>Independent volu","3.544878048780488","410"
"6444","headphones","Beats by Dr. Dre","Beats Solo HD On-Ear Headphone (Drenched in Green)"," Get the Beats by Dr. Dre Solo HD Headphones (Matte Green) at RadioShack.com and see our entire selection of Headphones from Beats by Dr. Dre. The perfect mix of sound and style. Durable and flexible RadioShack","3.9874332390826264","3183"
"6445","headphones","The House of Marley","The House of Marley Stir It Up On-Ear Headphones - Freedom Collection - Three-Button Apple Mic (EM-FH013-HA)","Buy House of Marley EM-FH013-HA 3.5mm&#47; 6.3mm Connector On-Ear Stir It Up Headphone w&#47; Mic &#38; 3-Button Controller with fast shipping and top-rated customer service.Once you know, you Newegg&#33;","4.067226890756302","119"
"6447","headphones","Plantronics","Plantronics Savi W745 Dect Mo","Plantronics - 86507-01 - Plantronics Savi W745 Earset - Mono - Wireless - DECT - 350 ft - Over-the-ear, Over-the-head, Behind-the-neck - Monaural - Open - Noise Cancelling Microphone on Neobits.com shop. UC Standard version built for UC applications and s","3.8989898305084747","295"
"6448","headphones","Beats by Dr. Dre","Beats urBeats In-Ear Headphones"," Get the Beats by Dr. Dre urBeats (Black) at RadioShack.com and see our entire selection of Headphones from Beats by Dr. Dre. Solid metal housing for rugged durabilityBuilt-in mic for taking calls RadioShack","3.6458538587848928","4872"
"6449","headphones","Sennheiser","Sennheiser MM30i Headphones","The effortless MM 30i ear-canal headset gets the most out of the latest generations of iPod, iPhone and iPad. The smart in-line remote control with microphone puts the full set of controls within easy reach, while bass-driven Sennheiser stereo sound and e","3.9010159651669087","1378"
"6451","headphones","Bose","Bose IE2 audio headphones","www.Mega-Fast.com IE2 Audio Headphones - Black and White (New) [bos-ie-ie2-baw-6577-new-mf1002] - Bose IE2 audio headphones set a standard for sound reproduction that conventional earbuds can't match. Re-engineered from the inside out, they feature an enh","4.2242289524868015","3599"
"55608","headphones","Zipbuds","Zipbuds Earphones (Pink with White) Previous Generation - Zippered Earphones","Product Description It's time we pay our respect t...","2.706666666666666","15"
"6458","headphones","Plantronics","Plantronics Blackwire C435 Stereo or Mono UC Headset - Non-Retail Packaging - Black","The Plantronics Blackwire C435Wideband NC headset is ideal for those who spend hours each day on long conference calls, webinars and video conferencing. The exceptional voice clarity and all-day comfort of the Blackwire Series make communications more eff","4.177192982456139","114"
"6459","headphones","ASTRO Gaming","ASTRO Gaming A40 Audio System (Black)","A40 WIRELESS SYSTEM HARD BUNDLED (BLK)","4.18876404494382","534"
"6482","headphones","Bose","Bose SIE2i Sport Headphones - Orange","Free shipping and returns on Bose® SIE2i Sport Headphones at Nordstrom.com. A durable, advanced design and ergonomic StayHear® tips provide a secure, comfortable fit for in-ear headphones. Enhanced acoustic engineering enables smoother, more natural sound","3.7568023833167827","1007"
"6483","headphones","SOL REPUBLIC","SOL REPUBLIC 1211-02 Tracks On-Ear Interchangeable Headphones with 3-Button Mic and Music Control - White","FREE Shipping on qualified orders.  Get DJ quality sound without paying club prices with the Sol Republic Tracks Headphones. The V8 Sound Engines pump deep bass and clear treble to your ears so you can have studio-quality sound wherever you go, and the co","4.10126582278481","158"
"6488","headphones","Plantronics","Plantronics Blackwire C435-M Stereo or Mono UC Headset, Microsoft Lync Compatible - Non-Retail Packaging - Black","The Plantronics Blackwire C435-M Wideband NC headset is ideal for those who spend hours each day on long conference calls, webinars and video conferencing. The exceptional voice clarity and all-day comfort of the Blackwire Series make communications more ","3.9615384615384617","104"
